,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
26.9,3.011,3.428,4.503,,4.336,5.004,5.672,,2.878,3.866,4.167
27,2.697,3.506,4.544,,3.796,5.105,6.537,,2.957,3.813,4.138
27.1,3.016,3.303,4.536,,3.93,5.254,5.896,,3.063,3.698,4.143
27.2,2.865,3.468,4.084,,4.089,5.196,6.236,,3.099,3.863,4.151
27.3,2.78,3.152,4.428,,3.584,5.293,5.854,,2.717,3.834,4.097
27.4,2.94,3.434,4.752,,4.31,5.151,6.545,,3.162,3.855,3.953
27.5,2.735,3.338,4.367,,4.073,5.176,6.148,,2.662,3.788,4.01
27.6,2.665,3.198,4.907,,3.671,5.169,6.324,,2.899,4.061,4.248
27.7,2.713,3.386,4.589,,4.473,4.81,6.242,,2.852,3.978,3.937
27.8,2.735,3.554,4.44,,3.95,4.97,6.057,,3.269,3.986,4.125
27.9,3.182,3.582,4.582,,3.604,4.929,6.156,,3.093,4.245,4.064
28,2.877,3.299,5.013,,3.977,5.121,6.15,,3.065,3.707,4.132
28.1,3.043,3.388,4.72,,3.736,5.15,6.239,,2.957,3.934,3.98
28.2,2.809,3.358,5.196,,4.303,4.959,6.207,,2.787,4.091,4.025
28.3,2.773,3.421,4.709,,4.264,5.113,5.932,,2.968,3.494,3.974
28.4,2.773,3.498,4.797,,3.957,5.195,6.417,,3.188,3.91,4.051
28.5,2.824,3.457,4.686,,4.49,5.108,6.047,,3.048,3.725,4.294
28.6,2.955,3.256,4.412,,4.46,4.94,6.498,,3.183,3.905,4.05
28.7,2.885,3.183,5.187,,4.598,5.221,6.064,,2.697,4.044,3.906
28.8,2.753,3.481,4.464,,4.376,5.111,5.792,,2.985,3.47,3.974
28.9,2.827,3.275,4.662,,4.003,5.038,6.029,,2.879,3.71,4.209
29,2.484,3.744,4.985,,4.192,4.803,5.615,,2.77,3.542,4.192
29.1,2.821,3.75,5.057,,4.666,4.803,5.248,,3.087,4.029,4.066
29.2,2.863,3.28,5.102,,3.576,5.255,6.073,,2.94,4.023,4.13
29.3,2.687,3.623,5.04,,4.077,4.752,6.45,,2.761,4.019,3.863
29.4,3.027,3.567,4.812,,4.619,4.74,5.597,,2.894,3.828,3.99
29.5,2.861,4.082,5.228,,4.778,4.628,6.246,,2.805,4.1,4.121
29.6,2.747,3.543,5.143,,4.001,4.88,6.367,,2.923,3.228,4.153
