,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
27.4,3.042,2.181,4.385,,8.674,6.922,3.964,,4.635,5.281,2.896
27.5,2.486,2.024,4.272,,8.724,6.759,4.258,,4.714,5.386,2.728
27.6,3.01,2.094,4.075,,8.587,7.004,4.009,,4.771,5.513,2.65
27.7,2.979,1.997,4.238,,8.698,6.682,3.694,,4.663,5.172,2.992
27.8,3.003,2.155,4.796,,8.809,6.983,3.59,,4.235,5.565,3.286
27.9,3.335,2.142,4.351,,9.077,6.941,3.139,,3.823,5.341,2.463
28,2.797,2.258,4.42,,8.628,7.112,3.691,,4.578,5.479,2.689
28.1,3.018,1.92,4.544,,8.382,6.918,3.581,,4.728,5.55,2.673
28.2,2.657,2.347,4.585,,8.796,6.811,3.439,,4.364,5.179,3.009
28.3,2.915,2.214,4.425,,8.508,6.82,3.722,,4.716,5.323,2.813
28.4,2.768,1.873,4.376,,8.293,7.079,3.81,,3.992,5.297,2.522
28.5,2.673,2.242,4.347,,8.427,6.901,4.074,,4.719,5.487,2.637
28.6,2.639,2.497,4.29,,8.464,6.951,3.898,,4.019,5.611,3.022
28.7,2.693,2.32,4.547,,8.729,6.903,3.898,,5.269,5.551,2.797
28.8,3.014,2.332,4.417,,8.757,6.875,3.697,,4.68,5.578,2.726
28.9,2.45,2.138,4.574,,8.228,6.794,3.207,,4.854,5.691,2.919
29,2.552,2.209,4.545,,8.602,6.779,3.837,,4.901,5.334,3.011
29.1,2.801,2.379,4.619,,8.276,7.072,3.505,,4.753,5.705,2.31
29.2,2.753,2.104,4.322,,8.228,6.803,3.391,,4.935,5.631,2.573
29.3,3.079,2.052,4.23,,8.675,6.989,3.503,,5.475,5.864,2.338
29.4,2.638,2.074,4.641,,7.787,6.794,3.599,,5.066,5.671,2.832
29.5,2.244,2.185,4.568,,7.81,6.578,3.516,,4.832,5.826,2.928
29.6,2.881,2.417,4.499,,8.074,7.062,3.693,,4.826,5.768,2.505
29.7,2.556,2.425,4.438,,8.576,7.029,3.471,,4.97,6.008,2.611
29.8,2.688,2.061,4.731,,8.155,6.729,3.115,,4.954,5.54,2.28
29.9,2.637,2.084,4.765,,8.246,6.438,3.626,,5.394,5.614,2.206
30,2.278,2.501,4.703,,7.806,6.823,3.911,,4.668,5.626,2.237
30.1,2.494,2.168,4.173,,7.995,6.755,4.076,,4.135,5.741,2.257
