Activity_ID,Quality,source,CID,SMILES,,,,,doc_id,Year,all_years,type_IC50,type_EC50,type_KD,type_Ki,pchembl_value,pchembl_value_Mean,pchembl_value_Median
GIDXPSSLLTWPAM_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200738,COc1cc2c(cc1OC)C(=O)C(Oc1cc(C(C)N(C)C)ccc1)C2,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.4,6.4,6.4
GJFHZVPRFLHEBR_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200549,CC(C)=CCCC(C)=CCc1c(O)cc(O)c(C2CC(=O)c3c(cc(O)cc3O)O2)c1,,,,,DOI:10.1007/s00044-012-0353-y,2013,2013,0,0,0,1,5.51,5.51,5.51
GJQQDXQGUWSLSC_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.303079,COc1cc(CN2CCC(C=C3Cc4c(C3=O)c(OC)ccc4)CC2)ccc1,,,,,PMID:27190595,2016,2016,0,0,0,1,4.76,4.76,4.76
GJSOIUMBSCXVRP_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.100561,CCN(C)Cc1cc(C=C2Cc3c(cc(OC)c(OC)c3)C2=O)ccc1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.63,6.63,6.63
GLVAOWPNTIXLJA_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.381734,COc1cccc(C2NC(=S)Nc3nc4c(CCCC4)c(N)c32)c1,,,,,PMID:29958119,2018,2018,0,0,0,1,5.41,5.41,5.41
GLVFHGWUKQPBOF_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245603,CCN(CC)CCCOc1ccc2nc3-c4c(cccc4)CCCn3c(=O)c2c1,,,,,PMID:25047936,2014,2014,1,0,0,0,5.38,5.38,5.38
GMGRYHOHJJROMP_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.177058,COc1c(O)cc(C2CC(=O)c3c(cc(O)c(CC=C(C)CCC=C(C)C)c3O)O2)cc1O,,,,,PMID:22445674,2012,2012,0,0,0,1,4.52,4.52,4.52
AAJCCATVSUSRCY_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.189491,CN(C)CCOc1ccc(C(=O)C=Cc2ccccc2)cc1,,,,,PMID:25260958,2014,2014,0,0,0,1,5.1;5.45,5.275,5.275
ACIBUVSZJSBTER_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.271193,CC(C)(C)c1cccc(C(=O)C(F)F)c1,,,,,PMID:26386602,2015,2015,1,0,0,0,8.06;8.22,8.14,8.14
ACVKIKNXGMLPQN_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.198152;ChEMBL31.compound.113229,CC1(C)CC2=Nc3c(c(N)c4CCCCc4n3)C(c3ccccc3)C2=C(O)C1,,,,,PMID:18640842,2008,2012;2008,1,0,0,0,6.49;6.15,6.32,6.32
ADCBAOTWERXLAP_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.171649,C#CCN(C)Cc1cc2c(ccc(OCCCC3CCN(Cc4ccccc4)CC3)c2)n1C,,,,,PMID:22023459,2011,2011;2020;2019,1,0,0,0,6.42;6.09;6.46,6.323333333,6.42
ADEBPBSSDYVVLD_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.5720,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,,,,DOI:10.1016/S0960-894X(00)80545-4,1992,2020;2020;2019;2020;2020;2020;2021;2021;2019;2021;2011;2017;2017;2017;2018;2017;2018;2017;2021;2020;2020;2021;2011;2021;2021;2015;2014;2017;2014;2008;2008;2017;2019;2019;2017;2013;2020;2016;2018;2021,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0,7.96;7.75;7.23;8.05;7.38;7.79;7.32;7.5;7.48;7.58;7.64;7.72;7.52;7.42;7.39;7.61;7.66;7.69;8.0;7.85;7.52;7.75;7.5;7.22;7.36;7.82;7.21;7.45;7.7;7.94;7.64;7.3;7.4;7.92;7.5;8.14;7.9;8.0;7.42;8.1,7.63325,7.625
AEGVBHAVNJPGMI_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.388319,ON=Cc1nc(CCCCNc2c3CCCCc3nc3ccc(Cl)cc23)ccc1O,,,,,PMID:30125110,2018,2018,0,0,1,0,4.94;5.24;4.98;4.67,4.9575,4.96
AFSDRTXSPIZEMA_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.8823,CN1CCC2(C)c3c(ccc(OC(=O)NC(C)(C)C)c3)N(C)C12,,,,,PMID:2202827,1990,1990,1,0,0,0,4.64;4.5,4.57,4.57
AGELYORQPXWSGA_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.258509,Cc1c(C)c2c(CCC(C)(C(=O)NCCCCNc3c4CCCCc4nc4c3cccc4)O2)c(C)c1O,,,,,PMID:25656088,2015,2015,1,0,0,0,6.27;6.02,6.145,6.145
AGOPIOMWLMAZHS_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.33691;ChEMBL31.compound.55160,Cc1c(NC(=O)Oc2ccc3c(c2)C2(C)CCOC2N3C)cccc1,,,,,PMID:15715468,2005,2005;2006,1,0,0,0,7.89;7.89,7.89,7.89
AJMNQFJBFWKBJZ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.152933,C[N+](C)(CCNC(=O)C(=O)NCC[N+](C)(C)Cc1c(Cl)cccc1)Cc1ccccc1Cl,,,,,PMID:21397501,2011,2013,0,0,0,1,8.3;8.22,8.26,8.26
AKAKQLGKPNQEPO_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.8785,C=CCN1CCC2(C)c3c(ccc(OC(=O)NC)c3)N(C)C12,,,,,PMID:2202827,1990,1990,1,0,0,0,7.35;7.5,7.425,7.425
ALWKGYPQUAPLQC_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.19379,CN(C)C(=O)Oc1cc([N+](C)(C)C)ccc1,,,,,PMID:8496937,1993,2006;2007;2008;2009;2010;2010,1,0,0,0,7.38;7.35;7.51;7.39;7.73;7.0,7.393333333,7.385
